Time (UTC),prs(m),rad(m)
2020-01-31 00:01:00,-1.111,3.809
2020-01-31 00:02:00,-1.111,3.811
2020-01-31 00:03:00,-1.111,3.812
2020-01-31 00:04:00,-1.11,3.811
2020-01-31 00:05:00,-1.11,3.812
2020-01-31 00:06:00,-1.111,3.816
2020-01-31 00:07:00,-1.111,3.818
2020-01-31 00:08:00,-1.111,3.822
2020-01-31 00:09:00,-1.111,3.825
2020-01-31 00:10:00,-1.11,3.828
2020-01-31 00:11:00,-1.11,3.83
2020-01-31 00:12:00,-1.111,3.833
2020-01-31 00:13:00,-1.111,3.832
2020-01-31 00:14:00,-1.11,3.831
2020-01-31 00:15:00,-1.11,3.831
2020-01-31 00:16:00,-1.11,3.832
2020-01-31 00:17:00,-1.11,3.834
2020-01-31 00:18:00,-1.111,3.837
2020-01-31 00:19:00,-1.111,3.84
2020-01-31 00:20:00,-1.11,3.842
2020-01-31 00:21:00,-1.11,3.845
2020-01-31 00:22:00,-1.11,3.849
2020-01-31 00:23:00,-1.11,3.856
2020-01-31 00:24:00,-1.111,3.863
2020-01-31 00:25:00,-1.111,3.867
2020-01-31 00:26:00,-1.11,3.872
2020-01-31 00:27:00,-1.11,3.875
2020-01-31 00:28:00,-1.11,3.878
2020-01-31 00:29:00,-1.11,3.882
2020-01-31 00:30:00,-1.111,3.886
2020-01-31 00:31:00,-1.111,3.892
2020-01-31 00:32:00,-1.11,3.896
2020-01-31 00:33:00,-1.11,3.898
2020-01-31 00:34:00,-1.11,3.9
2020-01-31 00:35:00,-1.11,3.903
2020-01-31 00:36:00,-1.111,3.906
2020-01-31 00:37:00,-1.111,3.91
2020-01-31 00:38:00,-1.11,3.912
2020-01-31 00:39:00,-1.11,3.917
2020-01-31 00:40:00,-1.11,3.921
2020-01-31 00:41:00,-1.11,3.925
2020-01-31 00:42:00,-1.11,3.928
2020-01-31 00:43:00,-1.111,3.931
2020-01-31 00:44:00,-1.11,3.935
2020-01-31 00:45:00,-1.11,3.939
2020-01-31 00:46:00,-1.11,3.944
2020-01-31 00:47:00,-1.11,3.948
2020-01-31 00:48:00,-1.11,3.95
2020-01-31 00:49:00,-1.111,3.954
2020-01-31 00:50:00,-1.11,3.958
2020-01-31 00:51:00,-1.11,3.963
