Date,Time (UTC),rad(m)
2020-01-01,2020-01-01 12:00:00.000000000,-0.22133842946490628
2020-01-02,2020-01-02 11:59:30.000000000,-0.20095902777777788
2020-01-03,2020-01-03 11:59:30.000000000,-0.15817222222222233
2020-01-04,2020-01-04 11:59:30.000000000,-0.125176388888889
2020-01-05,2020-01-05 12:02:25.732217600,-0.12716178521617863
2020-01-06,2020-01-06 11:59:30.000000000,-0.14743680555555566
2020-01-07,2020-01-07 11:59:30.000000000,-0.13873472222222233
2020-01-08,2020-01-08 11:59:30.000000000,-0.13834444444444455
2020-01-09,2020-01-09 10:39:12.976855552,-0.013592976855546805
2020-01-10,2020-01-10 13:47:32.537845248,-0.09617275155832601
2020-01-11,2020-01-11 11:59:30.000000000,-0.13974305555555566
2020-01-12,2020-01-12 11:59:30.000000000,-0.11112777777777788
2020-01-13,2020-01-13 11:59:30.000000000,-0.08789305555555565
2020-01-14,2020-01-14 13:15:03.333333248,-0.05497178130511475
2020-01-15,2020-01-15 11:59:30.000000000,-0.07584791666666676
2020-01-16,2020-01-16 11:54:45.949367040,-0.11357383966244734
2020-01-17,2020-01-17 11:59:30.000000000,-0.12153541666666678
2020-01-18,2020-01-18 11:59:30.000000000,-0.10859722222222232
2020-01-19,2020-01-19 10:29:09.098567936,-0.057269587194608354
2020-01-20,2020-01-20 13:44:45.038039040,-0.11519780219780229
2020-01-21,2020-01-21 12:02:28.744770048,-0.12786471408647151
2020-01-22,2020-01-22 11:59:30.000000000,-0.15638055555555566
2020-01-23,2020-01-23 11:59:30.000000000,-0.1357062500000001
2020-01-24,2020-01-24 11:59:30.000000000,-0.15280763888888899
2020-01-25,2020-01-25 11:59:30.000000000,-0.1764048611111112
2020-01-26,2020-01-26 11:59:30.000000000,-0.17333888888888901
2020-01-27,2020-01-27 11:59:30.000000000,-0.20482569444444457
2020-01-28,2020-01-28 11:59:30.000000000,-0.1964562500000001
2020-01-29,2020-01-29 11:59:30.000000000,-0.19317430555555568
2020-01-30,2020-01-30 11:58:38.284518912,-0.17667154811715494
2020-01-31,2020-01-31 11:59:30.000000000,-0.16893472222222233
2020-02-01,2020-02-01 00:00:00.000000000,-0.9650000000000003
2020-01-31,2020-01-31 12:00:00.000000000,-0.1583134120917307
2020-02-01,2020-02-01 00:00:00.000000000,-0.9550000000000005
2020-03-01,2020-03-01 11:59:30.000000000,-0.09898402777777789
2020-03-02,2020-03-02 11:59:30.000000000,-0.10760347222222233
2020-03-03,2020-03-03 11:59:30.000000000,-0.12887291666666678
2020-03-04,2020-03-04 11:59:30.000000000,-0.12584097222222232
2020-03-05,2020-03-05 11:54:09.493670912,-0.1225843881856541
2020-03-06,2020-03-06 11:57:47.071129600,-0.10503695955369605
2020-03-07,2020-03-07 11:59:30.000000000,-0.09794097222222234
2020-03-08,2020-03-08 11:59:30.000000000,-0.03904861111111122
2020-03-09,2020-03-09 11:59:30.000000000,-0.03237430555555566
2020-03-10,2020-03-10 11:54:29.240506368,0.02091983122362858
2020-03-11,2020-03-11 11:59:30.000000000,-0.014269444444444555
2020-03-12,2020-03-12 11:59:30.000000000,-0.0535562500000001
2020-03-13,2020-03-13 11:59:30.000000000,-0.06217083333333344
2020-03-14,2020-03-14 11:59:30.000000000,-0.055780555555555646
2020-03-15,2020-03-15 12:09:07.168141568,-0.09894690265486736
2020-03-16,2020-03-16 11:59:30.000000000,-0.11944444444444455
2020-03-17,2020-03-17 11:59:30.000000000,-0.08248958333333344
2020-03-18,2020-03-18 12:00:59.874476800,-0.08757043235704334
2020-03-19,2020-03-19 11:59:30.000000000,-0.08263819444444456
2020-03-20,2020-03-20 11:59:30.000000000,-0.07879583333333345
2020-03-21,2020-03-21 11:59:30.000000000,-0.08576666666666678
2020-03-22,2020-03-22 11:55:25.462184704,-0.12030252100840347
2020-03-23,2020-03-23 11:19:12.162162176,-0.07338213213213224
2020-03-24,2020-03-24 11:59:30.000000000,-0.13225000000000012
2020-03-25,2020-03-25 11:59:30.000000000,-0.12898194444444455
2020-03-26,2020-03-26 11:59:30.000000000,-0.11764236111111123
2020-03-27,2020-03-27 11:59:30.000000000,-0.12634513888888899
2020-03-28,2020-03-28 11:59:30.000000000,-0.170601388888889
2020-03-29,2020-03-29 12:24:16.956521728,-0.15507391304347837
2020-03-30,2020-03-30 11:59:30.000000000,-0.15973402777777787
2020-03-31,2020-03-31 11:12:52.702702592,-0.13348048048048058
2020-04-01,2020-04-01 13:13:07.714285568,-0.18653730158730122
2020-04-02,2020-04-02 11:59:30.000000000,-0.13936736111111073
2020-04-03,2020-04-03 11:58:38.284518912,-0.12377266387726604
2020-04-04,2020-04-04 11:59:30.000000000,-0.1442729166666663
2020-04-05,2020-04-05 11:59:30.000000000,-0.11688263888888854
2020-04-06,2020-04-06 11:59:30.000000000,-0.08825972222222188
2020-04-07,2020-04-07 11:59:30.000000000,-0.07696736111111076
2020-04-08,2020-04-08 11:59:30.000000000,-0.10846805555555519
2020-04-09,2020-04-09 11:59:30.000000000,-0.10809861111111076
2020-04-10,2020-04-10 11:59:30.000000000,-0.10974027777777742
2020-04-11,2020-04-11 11:58:29.246861824,-0.09304532775453242
2020-04-12,2020-04-12 11:59:30.000000000,-0.09201111111111077
2020-04-13,2020-04-13 11:59:30.000000000,-0.03502361111111075
2020-04-14,2020-04-14 11:59:30.000000000,-0.04221805555555521
2020-04-15,2020-04-15 11:59:30.000000000,-0.08399374999999965
2020-04-16,2020-04-16 11:59:30.000000000,-0.09507152777777744
2020-04-17,2020-04-17 11:59:30.000000000,-0.09618472222222187
2020-04-18,2020-04-18 11:59:30.000000000,-0.0773944444444441
2020-04-19,2020-04-19 11:59:30.000000000,-0.09662986111111074
2020-04-20,2020-04-20 11:59:30.000000000,-0.11563402777777743
2020-04-21,2020-04-21 11:59:30.000000000,-0.1151368055555552
2020-04-22,2020-04-22 11:59:30.000000000,-0.13149722222222188
2020-04-23,2020-04-23 11:59:30.000000000,-0.11060624999999964
2020-04-24,2020-04-24 11:59:30.000000000,-0.12401736111111077
2020-04-25,2020-04-25 11:59:30.000000000,-0.15838402777777744
2020-04-26,2020-04-26 11:59:30.000000000,-0.16553611111111075
2020-04-27,2020-04-27 11:59:30.000000000,-0.18894652777777743
2020-04-28,2020-04-28 11:59:30.000000000,-0.17523888888888853
2020-04-29,2020-04-29 11:59:30.000000000,-0.16860138888888854
2020-04-30,2020-04-30 11:59:30.000000000,-0.1534166666666663
2020-05-01,2020-05-01 11:59:30.000000000,-0.1881986111111115
2020-05-02,2020-05-02 11:59:30.000000000,-0.18494097222222258
2020-05-03,2020-05-03 11:59:30.000000000,-0.17444583333333372
2020-05-04,2020-05-04 11:57:22.970711296,-0.18550209205020957
2020-05-05,2020-05-05 11:59:30.000000000,-0.22885972222222256
2020-05-06,2020-05-06 11:59:30.000000000,-0.23841111111111146
2020-05-07,2020-05-07 11:59:30.000000000,-0.21889513888888926
2020-05-08,2020-05-08 11:59:30.000000000,-0.19932500000000036
2020-05-09,2020-05-09 11:59:30.000000000,-0.17270972222222258
2020-05-10,2020-05-10 11:59:30.000000000,-0.14680138888888924
2020-05-11,2020-05-11 11:59:30.000000000,-0.15269652777777815
2020-05-12,2020-05-12 11:58:10.336134400,-0.11263305322128887
2020-05-13,2020-05-13 11:59:30.000000000,-0.0792694444444448
2020-05-14,2020-05-14 11:59:30.000000000,-0.08675694444444479
2020-05-15,2020-05-15 11:59:30.000000000,-0.06200138888888925
2020-05-16,2020-05-16 11:59:30.000000000,-0.04442152777777815
2020-05-17,2020-05-17 11:59:30.000000000,-0.06283472222222257
2020-05-18,2020-05-18 11:59:30.000000000,-0.07330902777777813
2020-05-19,2020-05-19 11:59:30.000000000,-0.0930694444444448
2020-05-20,2020-05-20 11:59:30.000000000,-0.07268541666666703
2020-05-21,2020-05-21 11:59:30.000000000,-0.14311250000000036
2020-05-22,2020-05-22 11:59:30.000000000,-0.07926388888888923
2020-05-23,2020-05-23 12:01:28.493723904,-0.10497001394700176
2020-05-24,2020-05-24 11:59:30.000000000,-0.08359444444444479
2020-05-25,2020-05-25 11:59:03.891213312,-0.030854253835425737
2020-05-26,2020-05-26 11:59:30.000000000,0.08844097222222184
2020-05-27,2020-05-27 12:00:53.697478912,0.17668207282913131
2020-05-28,2020-05-28 11:59:30.000000000,0.20729305555555522
2020-05-29,2020-05-29 11:59:30.000000000,0.18474166666666633
2020-05-30,2020-05-30 11:59:30.000000000,0.22192152777777743
2020-05-31,2020-05-31 11:59:30.000000000,0.19625138888888854
2020-06-01,2020-06-01 11:59:30.000000000,0.2391118055555559
2020-06-02,2020-06-02 11:59:30.000000000,0.19539097222222257
2020-06-03,2020-06-03 11:59:30.000000000,0.1182631944444448
2020-06-04,2020-06-04 11:59:30.000000000,0.0933569444444448
2020-06-05,2020-06-05 11:59:30.000000000,0.0413243055555559
2020-06-06,2020-06-06 11:59:30.000000000,0.030637500000000362
2020-06-07,2020-06-07 11:59:30.000000000,-0.00019236111111076273
2020-06-08,2020-06-08 11:59:30.000000000,-0.024147916666666307
2020-06-09,2020-06-09 11:53:37.118643968,-0.03474858757062111
2020-06-10,2020-06-10 11:59:30.000000000,-0.0530118055555552
2020-06-11,2020-06-11 11:59:30.000000000,-0.01573611111111075
2020-06-12,2020-06-12 11:59:30.000000000,-0.0017798611111107432
2020-06-13,2020-06-13 12:02:07.815126016,-0.01619817927170832
2020-06-14,2020-06-14 12:02:59.620253184,-0.050688466947960274
2020-06-15,2020-06-15 11:57:38.033472768,-0.08815411436541108
2020-06-16,2020-06-16 11:59:30.000000000,-0.10336597222222187
2020-06-17,2020-06-17 12:05:58.474576384,-0.1324887005649714
2020-06-18,2020-06-18 11:57:33.514644480,-0.1567817294281726
2020-06-19,2020-06-19 12:01:46.569037568,-0.2435209205020917
2020-06-20,2020-06-20 11:59:30.000000000,-0.25009999999999966
2020-06-21,2020-06-21 11:59:30.000000000,-0.24967499999999967
2020-06-22,2020-06-22 11:59:30.000000000,-0.2967749999999996
2020-06-23,2020-06-23 11:59:30.000000000,-0.2827479166666663
2020-06-24,2020-06-24 11:57:10.920502016,-0.2738375174337514
2020-06-25,2020-06-25 12:00:50.836819968,-0.25377684797768446
2020-06-26,2020-06-26 11:59:30.000000000,-0.214833333333333
2020-06-27,2020-06-27 11:59:30.000000000,-0.1991569444444441
2020-06-28,2020-06-28 11:59:30.000000000,-0.18890763888888853
2020-06-29,2020-06-29 11:59:30.000000000,-0.15458472222222186
2020-06-30,2020-06-30 11:59:30.000000000,-0.15196249999999964
2020-07-01,2020-07-01 11:59:30.000000000,0.023949305555555207
2020-07-02,2020-07-02 12:02:24.225941504,-0.016259414225941782
2020-07-03,2020-07-03 11:59:30.000000000,-0.027128472222222574
2020-07-04,2020-07-04 11:59:30.000000000,-0.015129166666667028
2020-07-05,2020-07-05 11:59:30.000000000,-0.03425625000000035
2020-07-06,2020-07-06 11:57:15.439330560,-0.017251046025104962
2020-07-07,2020-07-07 11:59:30.000000000,-0.004397916666667017
2020-07-08,2020-07-08 11:59:30.000000000,0.06112986111111075
2020-07-09,2020-07-09 11:59:30.000000000,0.06189166666666631
2020-07-10,2020-07-10 11:59:30.000000000,0.06229444444444408
2020-07-11,2020-07-11 11:59:30.000000000,0.03792013888888854
2020-07-12,2020-07-12 11:59:30.000000000,0.019136805555555202
2020-07-13,2020-07-13 11:59:30.000000000,0.0001590277777774207
2020-07-14,2020-07-14 11:59:30.000000000,0.004472222222221858
2020-07-15,2020-07-15 11:59:30.000000000,-0.010385416666667029
2020-07-16,2020-07-16 11:59:30.000000000,-0.0448583333333337
2020-07-17,2020-07-17 11:59:30.000000000,-0.061695833333333686
2020-07-18,2020-07-18 11:54:01.898734080,-0.03336075949367124
2020-07-19,2020-07-19 11:59:30.000000000,-0.059090972222222586
2020-07-20,2020-07-20 11:57:48.577405952,-0.054917015341701896
2020-07-21,2020-07-21 11:59:30.000000000,-0.05212847222222258
2020-07-22,2020-07-22 11:59:30.000000000,-0.030043055555555916
2020-07-23,2020-07-23 11:59:30.000000000,-0.019437500000000354
2020-07-24,2020-07-24 11:59:30.000000000,-0.031177083333333695
