Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,rad(m)
2020-01-01,25.2,32.0,27.0,82.0,16.5,6.5,7.0,300.0,3.0,W ,-0.1013384294649061
2020-01-02,25.6,31.0,27.9,78.0,5.2,3.5,8.0,270.0,4.0,W ,-0.0809590277777777
2020-01-03,25.3,31.5,27.6,82.0,1.5,5.9,10.0,280.0,6.0,W ,-0.0381722222222222
2020-01-05,25.6,31.3,28.6,81.0,8.1,8.0,260.0,6.0,3.1337480559875583,,-0.0071693245518537
2020-01-06,25.5,30.6,27.8,80.0,7.5,6.6,7.0,260.0,6.0,W ,-0.0274368055555555
2020-01-07,26.4,30.6,28.3,79.0,6.2,5.0,7.0,290.0,6.0,W ,-0.0187347222222222
2020-01-08,26.3,31.1,29.0,76.0,1.6,6.8,7.0,290.0,5.0,W ,-0.0183444444444444
2020-01-09,26.8,31.2,28.7,76.0,8888.0,8.5,9.0,300.0,4.0,W ,0.105324534769769
2020-01-10,26.5,31.0,28.7,72.0,0.0,6.0,260.0,4.0,3.1337480559875583,,0.0228456697725437
2020-01-11,27.0,31.4,27.9,82.0,8888.0,12.3,9.0,280.0,6.0,W ,-0.0197430555555555
2020-01-13,24.5,31.2,28.0,79.0,13.7,8.4,9.0,260.0,6.0,W ,0.0321069444444444
2020-01-14,25.2,32.0,28.9,75.0,8888.0,8.7,5.0,250.0,2.0,E ,0.0648820761762144
2020-01-15,26.8,32.5,28.7,78.0,0.0,10.0,5.0,250.0,2.0,SW,0.0441520833333333
2020-01-16,25.9,32.0,28.5,78.0,4.8,8.6,6.0,270.0,3.0,W ,0.0063918809945081
2020-01-17,24.0,31.0,28.3,79.0,12.9,11.2,5.0,250.0,3.0,W ,-0.0015354166666666
2020-01-18,25.6,30.8,28.6,74.0,0.0,12.0,5.0,280.0,3.0,W ,0.0114027777777777
2020-01-19,26.8,31.2,29.2,72.0,0.8,12.1,6.0,260.0,3.0,W ,0.061327321713482
2020-01-20,25.2,31.2,27.7,81.0,6.0,260.0,4.0,,3.1337480559875583,,0.0043862438987354
2020-01-21,25.2,29.3,27.7,81.0,12.3,5.0,300.0,4.0,3.1337480559875583,,-0.007871763576244
2020-01-22,27.0,32.0,29.7,71.0,0.0,7.2,6.0,250.0,2.0,W ,-0.0363805555555555
2020-01-23,26.2,32.6,29.3,77.0,12.2,11.3,5.0,250.0,2.0,W ,-0.01570625
2020-01-24,26.0,32.4,29.2,73.0,0.0,12.0,4.0,120.0,2.0,E ,-0.0328076388888888
2020-01-25,25.8,32.9,29.5,73.0,8888.0,11.1,4.0,90.0,2.0,E ,-0.0564048611111111
2020-01-26,26.6,32.6,29.3,74.0,0.0,5.0,260.0,2.0,3.1337480559875583,,-0.0533388888888888
2020-01-27,26.6,32.8,29.3,73.0,8.2,4.0,90.0,2.0,3.1337480559875583,,-0.0848256944444444
2020-01-28,26.8,33.6,29.3,76.0,0.0,8.1,4.0,90.0,2.0,E ,-0.0764562499999999
2020-01-29,26.5,32.8,29.6,77.0,7.8,7.0,300.0,3.0,3.1337480559875583,,-0.0731743055555555
2020-01-30,26.0,30.7,27.0,88.0,7.1,11.8,8.0,250.0,4.0,NW,-0.0566445858758956
2020-01-31,24.6,32.0,28.5,75.0,17.8,1.2,7.0,280.0,4.0,W ,-0.0489347222222222
2020-02-01,26.8,32.2,28.2,80.0,8888.0,7.6,5.0,240.0,2.0,W ,-0.0189472222222226
2020-02-02,25.4,32.1,28.3,78.0,8888.0,7.4,5.0,110.0,2.0,E ,-0.034772916666667
2020-02-03,25.8,32.2,28.7,76.0,0.0,10.3,5.0,110.0,2.0,E ,-0.0266944444444448
2020-02-04,25.8,32.4,28.6,74.0,0.0,11.2,5.0,260.0,2.0,W ,-0.0629555555555559
