Date,Time (UTC),rad(m)
2020-01-01,2020-01-01 12:00:00.000000000,-0.22133842946490628
2020-01-02,2020-01-02 11:59:30.000000000,-0.20095902777777788
2020-01-03,2020-01-03 11:59:30.000000000,-0.15817222222222233
2020-01-04,2020-01-04 11:59:30.000000000,-0.125176388888889
2020-01-05,2020-01-05 12:01:56.445992960,-0.12716932455185387
2020-01-06,2020-01-06 11:59:30.000000000,-0.14743680555555566
2020-01-07,2020-01-07 11:59:30.000000000,-0.13873472222222233
2020-01-08,2020-01-08 11:59:30.000000000,-0.13834444444444455
2020-01-09,2020-01-09 10:43:44.810126592,-0.014675465230231067
2020-01-10,2020-01-10 13:35:04.069565184,-0.09715433022745637
2020-01-11,2020-01-11 11:59:30.000000000,-0.13974305555555566
2020-01-12,2020-01-12 11:59:30.000000000,-0.11112777777777788
2020-01-13,2020-01-13 11:59:30.000000000,-0.08789305555555565
2020-01-14,2020-01-14 13:14:41.566901504,-0.05511792382378563
2020-01-15,2020-01-15 11:59:30.000000000,-0.07584791666666676
2020-01-16,2020-01-16 11:55:18.328651776,-0.1136081190054919
2020-01-17,2020-01-17 11:59:30.000000000,-0.12153541666666678
2020-01-18,2020-01-18 11:59:30.000000000,-0.10859722222222232
2020-01-19,2020-01-19 10:38:15.943708672,-0.05867267828651804
2020-01-20,2020-01-20 13:34:44.414937600,-0.11561375610126469
2020-01-21,2020-01-21 12:01:58.954703872,-0.12787176357624414
2020-01-22,2020-01-22 11:59:30.000000000,-0.15638055555555566
2020-01-23,2020-01-23 11:59:30.000000000,-0.1357062500000001
2020-01-24,2020-01-24 11:59:30.000000000,-0.15280763888888899
2020-01-25,2020-01-25 11:59:30.000000000,-0.1764048611111112
2020-01-26,2020-01-26 11:59:30.000000000,-0.17333888888888901
2020-01-27,2020-01-27 11:59:30.000000000,-0.20482569444444457
2020-01-28,2020-01-28 11:59:30.000000000,-0.1964562500000001
2020-01-29,2020-01-29 11:59:30.000000000,-0.19317430555555568
2020-01-30,2020-01-30 11:58:47.038327552,-0.1766445858758957
2020-01-31,2020-01-31 11:59:30.000000000,-0.16893472222222233
2020-02-01,2020-02-01 11:59:30.000000000,-0.14894722222222254
2020-02-02,2020-02-02 11:59:30.000000000,-0.164772916666667
2020-02-03,2020-02-03 11:59:30.000000000,-0.15669444444444477
2020-02-04,2020-02-04 11:59:30.000000000,-0.19295555555555588
2020-02-05,2020-02-05 11:59:30.000000000,-0.14477847222222257
2020-02-06,2020-02-06 11:59:30.000000000,-0.11695763888888919
2020-02-07,2020-02-07 11:59:30.000000000,-0.08708541666666697
2020-02-08,2020-02-08 11:59:30.000000000,-0.06798611111111143
2020-02-09,2020-02-09 11:59:30.000000000,-0.09127847222222255
2020-02-10,2020-02-10 11:59:30.000000000,-0.063879166666667
2020-02-11,2020-02-11 11:59:30.000000000,-0.04903194444444477
2020-02-12,2020-02-12 11:59:30.000000000,-0.042356944444444766
2020-02-13,2020-02-13 11:59:30.000000000,-0.03698888888888921
2020-02-14,2020-02-14 11:59:30.000000000,-0.06316250000000032
2020-02-15,2020-02-15 11:59:30.000000000,-0.07812500000000032
2020-02-16,2020-02-16 11:59:30.000000000,-0.09464930555555587
2020-02-17,2020-02-17 11:59:30.000000000,-0.14453750000000032
2020-02-18,2020-02-18 11:59:30.000000000,-0.1382277777777781
2020-02-19,2020-02-19 11:59:30.000000000,-0.1252951388888892
2020-02-20,2020-02-20 11:59:30.000000000,-0.11677500000000032
2020-02-21,2020-02-21 11:59:30.000000000,-0.11824236111111143
2020-02-22,2020-02-22 11:59:30.000000000,-0.08967569444444477
2020-02-23,2020-02-23 11:59:30.000000000,-0.09664444444444477
2020-02-24,2020-02-24 10:40:49.464882944,-0.07181047850486492
2020-02-25,2020-02-25 13:09:29.239302656,-0.1242509628248947
2020-02-26,2020-02-26 11:59:30.000000000,-0.1001388888888892
2020-02-27,2020-02-27 11:59:30.000000000,-0.06646250000000033
2020-02-28,2020-02-28 11:59:30.000000000,-0.06545555555555588
2020-02-29,2020-02-29 11:59:30.000000000,-0.07862083333333365
2020-03-01,2020-03-01 11:59:30.000000000,-0.09898402777777789
2020-03-02,2020-03-02 11:59:30.000000000,-0.10760347222222233
2020-03-03,2020-03-03 11:59:30.000000000,-0.12887291666666678
2020-03-04,2020-03-04 11:59:30.000000000,-0.12584097222222232
2020-03-05,2020-03-05 11:54:45.969101056,-0.12254694838499036
2020-03-06,2020-03-06 11:58:04.390243840,-0.1050306113241207
2020-03-07,2020-03-07 11:59:30.000000000,-0.09794097222222234
2020-03-08,2020-03-08 11:59:30.000000000,-0.03904861111111122
2020-03-09,2020-03-09 11:59:30.000000000,-0.03237430555555566
2020-03-10,2020-03-10 11:55:20.210526208,0.020673837368182898
2020-03-11,2020-03-11 11:59:30.000000000,-0.014269444444444555
2020-03-12,2020-03-12 11:59:30.000000000,-0.0535562500000001
2020-03-13,2020-03-13 11:59:30.000000000,-0.06217083333333344
2020-03-14,2020-03-14 11:59:30.000000000,-0.055780555555555646
2020-03-15,2020-03-15 12:08:44.558823424,-0.09893802132386208
2020-03-16,2020-03-16 11:59:30.000000000,-0.11944444444444455
2020-03-17,2020-03-17 11:59:30.000000000,-0.08248958333333344
2020-03-18,2020-03-18 12:00:44.947735296,-0.08757625592342386
2020-03-19,2020-03-19 11:59:30.000000000,-0.08263819444444456
2020-03-20,2020-03-20 11:59:30.000000000,-0.07879583333333345
2020-03-21,2020-03-21 11:59:30.000000000,-0.08576666666666678
2020-03-22,2020-03-22 11:56:06.713286656,-0.12026842972043797
2020-03-23,2020-03-23 11:20:05.037481216,-0.07341593290871534
2020-03-24,2020-03-24 11:59:30.000000000,-0.13225000000000012
2020-03-25,2020-03-25 11:59:30.000000000,-0.12898194444444455
2020-03-26,2020-03-26 11:59:30.000000000,-0.11764236111111123
2020-03-27,2020-03-27 11:59:30.000000000,-0.12634513888888899
2020-03-28,2020-03-28 11:59:30.000000000,-0.170601388888889
2020-03-29,2020-03-29 12:24:16.956521728,-0.15507391304347837
2020-03-30,2020-03-30 11:59:30.000000000,-0.15973402777777787
2020-03-31,2020-03-31 11:19:36.748329728,-0.13306229305990808
2020-04-01,2020-04-01 13:05:37.823022592,-0.18561263000804606
2020-04-02,2020-04-02 11:59:30.000000000,-0.13936736111111073
2020-04-03,2020-04-03 11:58:47.038327552,-0.12376799870958255
2020-04-04,2020-04-04 11:59:30.000000000,-0.1442729166666663
2020-04-05,2020-04-05 11:59:30.000000000,-0.11688263888888854
2020-04-06,2020-04-06 11:59:30.000000000,-0.08825972222222188
2020-04-07,2020-04-07 11:59:30.000000000,-0.07696736111111076
2020-04-08,2020-04-08 11:59:30.000000000,-0.10846805555555519
2020-04-09,2020-04-09 11:59:30.000000000,-0.10809861111111076
2020-04-10,2020-04-10 11:59:30.000000000,-0.10974027777777742
2020-04-11,2020-04-11 11:58:39.512195072,-0.09306207536463483
2020-04-12,2020-04-12 11:59:30.000000000,-0.09201111111111077
2020-04-13,2020-04-13 11:59:30.000000000,-0.03502361111111075
2020-04-14,2020-04-14 11:59:30.000000000,-0.04221805555555521
2020-04-15,2020-04-15 11:59:30.000000000,-0.08399374999999965
2020-04-16,2020-04-16 11:59:30.000000000,-0.09507152777777744
2020-04-17,2020-04-17 11:59:30.000000000,-0.09618472222222187
2020-04-18,2020-04-18 11:59:30.000000000,-0.0773944444444441
2020-04-19,2020-04-19 11:59:30.000000000,-0.09662986111111074
2020-04-20,2020-04-20 11:59:30.000000000,-0.11563402777777743
2020-04-21,2020-04-21 11:59:30.000000000,-0.1151368055555552
2020-04-22,2020-04-22 11:59:30.000000000,-0.13149722222222188
2020-04-23,2020-04-23 11:59:30.000000000,-0.11060624999999964
2020-04-24,2020-04-24 11:59:30.000000000,-0.12401736111111077
2020-04-25,2020-04-25 11:59:30.000000000,-0.15838402777777744
2020-04-26,2020-04-26 11:59:30.000000000,-0.16553611111111075
2020-04-27,2020-04-27 11:59:30.000000000,-0.18894652777777743
2020-04-28,2020-04-28 11:59:30.000000000,-0.17523888888888853
2020-04-29,2020-04-29 11:59:30.000000000,-0.16860138888888854
2020-04-30,2020-04-30 11:59:30.000000000,-0.1534166666666663
2020-05-01,2020-05-01 11:59:30.000000000,-0.1881986111111115
2020-05-02,2020-05-02 11:59:30.000000000,-0.18494097222222258
2020-05-03,2020-05-03 11:59:30.000000000,-0.17444583333333372
2020-05-04,2020-05-04 11:57:44.320557568,-0.1854210508025785
2020-05-05,2020-05-05 11:59:30.000000000,-0.22885972222222256
2020-05-06,2020-05-06 11:59:30.000000000,-0.23841111111111146
2020-05-07,2020-05-07 11:59:30.000000000,-0.21889513888888926
2020-05-08,2020-05-08 11:59:30.000000000,-0.19932500000000036
2020-05-09,2020-05-09 11:59:30.000000000,-0.17270972222222258
2020-05-10,2020-05-10 11:59:30.000000000,-0.14680138888888924
2020-05-11,2020-05-11 11:59:30.000000000,-0.15269652777777815
2020-05-12,2020-05-12 11:58:23.916083968,-0.1125723187436362
2020-05-13,2020-05-13 11:59:30.000000000,-0.0792694444444448
2020-05-14,2020-05-14 11:59:30.000000000,-0.08675694444444479
2020-05-15,2020-05-15 11:59:30.000000000,-0.06200138888888925
2020-05-16,2020-05-16 11:59:30.000000000,-0.04442152777777815
2020-05-17,2020-05-17 11:59:30.000000000,-0.06283472222222257
2020-05-18,2020-05-18 11:59:30.000000000,-0.07330902777777813
2020-05-19,2020-05-19 11:59:30.000000000,-0.0930694444444448
2020-05-20,2020-05-20 11:59:30.000000000,-0.07268541666666703
2020-05-21,2020-05-21 11:59:30.000000000,-0.14311250000000036
2020-05-22,2020-05-22 11:59:30.000000000,-0.07926388888888923
2020-05-23,2020-05-23 12:01:08.780487680,-0.1049450926144252
2020-05-24,2020-05-24 11:59:30.000000000,-0.08359444444444479
2020-05-25,2020-05-25 11:59:08.362369280,-0.03088098111616734
2020-05-26,2020-05-26 11:59:30.000000000,0.08844097222222184
2020-05-27,2020-05-27 12:00:39.860139776,0.17633817076685332
2020-05-28,2020-05-28 11:59:30.000000000,0.20729305555555522
2020-05-29,2020-05-29 11:59:30.000000000,0.18474166666666633
2020-05-30,2020-05-30 11:59:30.000000000,0.22192152777777743
2020-05-31,2020-05-31 11:59:30.000000000,0.19625138888888854
2020-06-01,2020-06-01 11:59:30.000000000,0.2391118055555559
2020-06-02,2020-06-02 11:59:30.000000000,0.19539097222222257
2020-06-03,2020-06-03 11:59:30.000000000,0.1182631944444448
2020-06-04,2020-06-04 11:59:30.000000000,0.0933569444444448
2020-06-05,2020-06-05 11:59:30.000000000,0.0413243055555559
2020-06-06,2020-06-06 11:59:30.000000000,0.030637500000000362
2020-06-07,2020-06-07 11:59:30.000000000,-0.00019236111111076273
2020-06-08,2020-06-08 11:59:30.000000000,-0.024147916666666307
2020-06-09,2020-06-09 11:54:07.700987392,-0.034827366861755193
2020-06-10,2020-06-10 11:59:30.000000000,-0.0530118055555552
2020-06-11,2020-06-11 11:59:30.000000000,-0.01573611111111075
2020-06-12,2020-06-12 11:59:30.000000000,-0.0017798611111107432
2020-06-13,2020-06-13 12:01:41.538461440,-0.01630224210487332
2020-06-14,2020-06-14 12:02:24.631579136,-0.05077249776487969
2020-06-15,2020-06-15 11:57:56.864111616,-0.08815582097908305
2020-06-16,2020-06-16 11:59:30.000000000,-0.10336597222222187
2020-06-17,2020-06-17 12:05:10.021141504,-0.1324001475087763
2020-06-18,2020-06-18 11:57:53.101045248,-0.1567356119198496
2020-06-19,2020-06-19 12:01:23.832752640,-0.2434143575644489
2020-06-20,2020-06-20 11:59:30.000000000,-0.25009999999999966
2020-06-21,2020-06-21 11:59:30.000000000,-0.24967499999999967
2020-06-22,2020-06-22 11:59:30.000000000,-0.2967749999999996
2020-06-23,2020-06-23 11:59:30.000000000,-0.2827479166666663
2020-06-24,2020-06-24 11:57:34.285714432,-0.2737098279477242
2020-06-25,2020-06-25 12:00:37.421602816,-0.25366313805225377
2020-06-26,2020-06-26 11:59:30.000000000,-0.214833333333333
2020-06-27,2020-06-27 11:59:30.000000000,-0.1991569444444441
2020-06-28,2020-06-28 11:59:30.000000000,-0.18890763888888853
