Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2020,25.3,31.7,28.0,78,0.0,10.1,5,130,2,E 
02-04-2020,25.4,31.9,28.3,80,0.0,8.2,5,110,3,SE
03-04-2020,25.5,32.1,29.0,80,0.0,10.5,4,110,2,E 
04-04-2020,26.4,31.8,28.5,86,,8.1,4,130,2,E 
05-04-2020,26.2,31.4,28.4,82,0.0,7.8,5,260,2,E 
06-04-2020,25.3,30.8,28.0,86,6.6,3.6,6,320,2,W 
07-04-2020,25.3,32.3,28.0,81,0.0,3.8,4,130,2,E 
08-04-2020,25.3,31.4,28.3,80,0.0,7.9,4,110,2,E 
09-04-2020,25.3,32.2,28.3,78,0.0,8.6,4,100,2,SE
10-04-2020,25.5,32.2,28.5,81,0.0,,5,140,2,SE
11-04-2020,25.2,31.1,27.3,82,6.2,11.0,5,100,2,E 
12-04-2020,24.6,31.2,27.5,76,0.8,7.4,3,340,2,SE
13-04-2020,24.1,32.2,27.7,74,,6.6,3,90,2,E 
14-04-2020,,31.6,28.2,82,0.0,8.4,4,110,2,E 
15-04-2020,25.0,32.9,28.4,85,0.0,8.3,4,270,2,E 
16-04-2020,24.4,32.6,28.4,83,10.7,0.0,4,140,2,SE
17-04-2020,25.7,31.6,28.6,84,1.0,6.5,5,90,2,E 
18-04-2020,26.0,32.8,28.6,83,0.0,7.2,3,100,1,E 
19-04-2020,26.2,32.2,27.7,84,1.1,8.1,4,260,1,NE
20-04-2020,25.0,32.0,28.1,84,37.0,7.2,4,130,2,SE
21-04-2020,23.5,31.8,28.2,80,0.0,10.4,5,120,3,SE
22-04-2020,25.1,32.4,28.2,79,0.0,10.7,6,100,3,SE
23-04-2020,25.4,31.8,28.2,84,0.0,10.8,8,120,4,SE
24-04-2020,25.2,31.5,29.2,79,0.0,11.0,5,130,3,SE
25-04-2020,26.0,30.7,28.1,83,0.0,10.4,5,130,2,E 
26-04-2020,25.2,31.3,28.1,86,0.0,3.0,6,130,4,SE
27-04-2020,25.1,30.8,27.8,85,4.8,10.0,5,120,3,SE
28-04-2020,25.6,31.0,27.6,85,0.0,9.3,4,110,2,E 
29-04-2020,24.7,31.1,27.2,84,0.0,9.3,5,130,3,SE
30-04-2020,25.4,30.8,28.5,80,0.0,10.7,5,110,3,E 
