Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2020,23.5,28.6,26.2,72,0.3,10.5,6,130,4,SE
02-08-2020,21.3,28.8,24.2,78,0.0,9.3,5,120,2,SE
03-08-2020,21.4,29.2,24.8,82,0.0,10.2,4,120,3,SE
04-08-2020,22.4,28.0,25.8,78,,6.5,8,100,4,SE
05-08-2020,24.9,28.5,25.8,82,0.0,4.7,6,120,4,SE
06-08-2020,24.1,28.5,25.7,77,8888.0,4.8,5,120,4,E 
07-08-2020,,28.6,25.9,76,0.0,11.0,7,110,4,SE
08-08-2020,24.8,28.4,25.8,83,0.0,7.9,7,110,4,SE
09-08-2020,23.2,29.2,25.7,84,0.0,9.8,5,120,3,SE
10-08-2020,23.3,30.4,26.0,88,,10.2,5,110,2,SE
11-08-2020,23.5,30.1,27.2,84,0.0,9.0,5,140,3,SE
12-08-2020,25.4,30.4,27.0,86,,7.7,5,130,4,SE
13-08-2020,25.5,30.1,27.2,83,0.0,7.6,5,110,4,E 
14-08-2020,,30.2,27.5,82,8888.0,6.5,5,90,4,SE
15-08-2020,25.6,30.0,27.4,82,0.0,9.4,7,140,4,SE
16-08-2020,25.8,29.8,27.0,79,0.0,10.1,7,130,4,SE
17-08-2020,25.8,29.5,27.0,82,0.0,10.5,6,140,4,SE
18-08-2020,25.8,29.8,26.8,83,0.0,10.4,7,130,4,SE
19-08-2020,25.0,29.2,26.9,75,,9.1,6,140,5,SE
20-08-2020,25.3,29.2,26.7,79,0.0,10.3,6,130,4,SE
21-08-2020,25.4,29.5,26.9,80,0.0,9.5,6,120,4,SE
22-08-2020,23.0,29.4,25.5,84,0.0,10.8,6,120,4,SE
23-08-2020,23.0,29.5,26.9,80,0.0,10.9,6,130,3,SE
24-08-2020,,29.8,26.8,82,0.0,10.9,6,130,3,SE
25-08-2020,25.6,29.8,27.0,80,,9.5,6,130,4,SE
26-08-2020,25.8,29.4,26.9,78,0.0,10.4,6,130,5,SE
27-08-2020,25.6,29.7,26.9,79,,10.1,6,130,4,SE
28-08-2020,25.6,30.1,27.3,79,0.0,10.0,6,120,5,SE
29-08-2020,26.2,29.6,27.3,75,8888.0,10.7,7,110,5,SE
30-08-2020,25.5,29.5,27.0,76,0.0,10.1,6,140,5,SE
31-08-2020,,29.7,27.3,76,,10.7,7,130,4,SE
