Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2020,23.5,27.9,25.8,88.0,52.1,1.5,3,280,2,N 
02-12-2020,24.7,31.0,27.3,81.0,0.6,0.0,3,70,1,E 
03-12-2020,25.7,31.4,28.8,81.0,8888.0,2.4,5,260,3,W 
04-12-2020,25.6,30.3,27.8,81.0,0.4,9.8,6,290,4,W 
05-12-2020,24.2,30.4,27.7,85.0,15.8,4.6,6,260,3,W 
06-12-2020,24.3,31.6,28.2,81.0,3.6,3.7,3,240,2,E 
07-12-2020,26.5,33.3,29.5,76.0,0.0,3.2,9,320,5,NW
08-12-2020,26.0,31.5,29.0,76.0,0.0,6.2,7,300,3,NW
09-12-2020,26.8,31.8,,,8888.0,2.5,9,300,5,NW
10-12-2020,27.5,31.9,29.5,76.0,8888.0,2.4,7,300,3,W 
11-12-2020,27.1,31.3,28.2,81.0,0.0,8.3,7,250,4,W 
12-12-2020,25.3,30.0,27.0,86.0,25.7,1.8,4,300,2,NW
13-12-2020,24.5,30.5,27.2,85.0,8.3,1.0,8,230,3,W 
14-12-2020,25.8,28.2,26.3,88.0,1.5,0.3,8,270,2,W 
15-12-2020,24.2,30.0,26.9,86.0,20.0,0.0,5,280,4,W 
16-12-2020,24.6,27.4,25.5,91.0,13.2,3.7,5,300,3,NW
17-12-2020,24.2,30.3,27.6,81.0,24.5,0.0,13,270,5,W 
18-12-2020,22.5,30.2,26.9,88.0,25.1,9.0,5,300,4,W 
19-12-2020,25.0,30.1,27.9,79.0,1.0,7.2,9,310,5,W 
20-12-2020,24.7,30.0,27.3,86.0,3.9,8.3,8,250,7,W 
21-12-2020,,30.6,28.5,75.0,14.4,3.8,8,270,6,W 
22-12-2020,26.8,30.7,28.8,74.0,8888.0,10.9,7,270,5,W 
23-12-2020,27.0,30.6,28.7,76.0,2.1,3.7,6,270,4,W 
24-12-2020,25.1,30.8,27.3,82.0,9.8,9.8,5,270,2,W 
25-12-2020,24.6,31.6,28.3,74.0,8888.0,10.4,5,260,2,NW
26-12-2020,25.5,31.2,28.4,78.0,0.0,9.2,6,230,2,W 
27-12-2020,25.0,31.2,28.1,79.0,0.0,11.5,5,260,2,W 
28-12-2020,24.0,30.4,27.1,86.0,80.7,10.1,5,320,3,W 
29-12-2020,24.0,30.6,27.9,80.0,3.9,4.6,6,270,3,W 
30-12-2020,25.0,29.7,27.6,85.0,23.5,8.7,5,260,3,W 
31-12-2020,,30.3,28.0,78.0,7.0,0.0,5,260,2,W 
