Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2020,26.8,32.2,28.2,80.0,8888.0,7.6,5,240,2,W 
02-02-2020,25.4,32.1,28.3,78.0,8888.0,7.4,5,110,2,E 
03-02-2020,25.8,32.2,28.7,76.0,0.0,10.3,5,110,2,E 
04-02-2020,25.8,32.4,28.6,74.0,0.0,11.2,5,260,2,W 
05-02-2020,25.2,31.8,28.4,76.0,0.0,11.8,5,270,4,W 
06-02-2020,25.2,31.9,28.5,81.0,27.2,11.5,6,270,4,W 
07-02-2020,26.1,31.9,29.0,77.0,1.3,8.3,8,330,3,W 
08-02-2020,25.8,32.0,29.2,75.0,1.6,5.8,7,290,3,W 
09-02-2020,24.5,30.1,25.6,90.0,22.1,4.2,10,270,5,W 
10-02-2020,24.3,31.0,29.0,75.0,39.8,0.0,7,280,4,W 
11-02-2020,25.6,31.4,27.7,75.0,0.5,8.7,6,260,2,N 
12-02-2020,25.6,31.7,28.2,78.0,0.0,9.2,4,110,2,E 
13-02-2020,25.4,32.6,28.7,78.0,7.1,6.2,4,250,2,E 
14-02-2020,25.4,32.0,28.2,77.0,8888.0,9.6,4,90,2,E 
15-02-2020,26.9,32.0,28.8,79.0,0.0,8.1,6,300,3,E 
16-02-2020,24.0,31.6,27.6,82.0,17.3,9.1,5,260,2,W 
17-02-2020,24.0,30.6,27.4,81.0,4.0,9.0,8,250,4,W 
18-02-2020,26.5,30.7,28.7,75.0,0.0,5.0,5,270,3,W 
19-02-2020,24.8,31.1,28.1,78.0,1.2,5.1,6,260,4,W 
20-02-2020,25.4,31.6,28.4,78.0,7.7,7.4,5,250,3,W 
21-02-2020,25.5,31.1,28.6,81.0,6.7,2.1,6,310,4,W 
22-02-2020,24.8,31.4,,,20.1,7.0,10,290,5,W 
23-02-2020,26.5,31.2,28.6,78.0,1.2,9.3,5,300,3,W 
24-02-2020,25.3,32.0,28.7,80.0,3.2,11.6,4,260,2,W 
25-02-2020,25.5,32.0,28.9,84.0,0.3,11.9,7,300,2,W 
26-02-2020,24.8,31.2,27.8,86.0,51.0,9.5,7,280,4,W 
27-02-2020,25.8,32.1,28.8,79.0,1.5,2.0,5,260,2,W 
28-02-2020,26.8,32.4,28.9,81.0,0.0,8.8,8,240,5,W 
29-02-2020,27.1,31.8,,,0.0,8.0,7,260,4,W 
