Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2020,26.4,29.6,27.3,78.0,0.0,9.0,6,130,4,SE
02-07-2020,26.2,29.4,27.2,76.0,0.0,9.0,5,110,3,SE
03-07-2020,23.9,29.2,26.0,80.0,0.0,9.7,6,120,5,SE
04-07-2020,26.2,29.5,27.3,79.0,0.0,9.4,6,120,4,SE
05-07-2020,25.0,30.0,26.6,88.0,0.5,9.8,13,120,5,SE
06-07-2020,25.1,29.4,27.4,82.0,0.0,4.9,10,120,5,SE
07-07-2020,,29.2,,,,7.9,8,100,5,SE
08-07-2020,26.0,29.3,27.1,80.0,0.0,,7,130,5,SE
09-07-2020,26.0,29.3,27.0,80.0,8888.0,6.0,7,110,4,SE
10-07-2020,,,27.2,78.0,8888.0,3.3,6,110,4,SE
11-07-2020,26.0,29.5,27.1,78.0,0.0,9.4,7,120,5,SE
12-07-2020,26.0,29.4,27.0,78.0,0.0,5.8,5,120,4,E 
13-07-2020,25.2,29.6,27.0,81.0,,10.3,5,130,4,SE
14-07-2020,25.0,29.2,27.3,82.0,8888.0,8.5,6,120,5,SE
15-07-2020,26.4,,27.0,78.0,0.0,9.1,8,110,6,SE
16-07-2020,25.8,29.2,26.8,73.0,0.0,10.0,9,120,4,SE
17-07-2020,,29.6,25.9,80.0,0.0,,6,120,4,SE
18-07-2020,25.3,29.7,27.1,79.0,0.0,10.5,5,120,4,SE
19-07-2020,,,27.3,79.0,,10.1,5,140,4,SE
20-07-2020,26.0,30.2,27.0,84.0,5.7,3.0,5,120,4,SE
21-07-2020,,29.5,26.8,83.0,0.1,8.7,8,110,5,SE
22-07-2020,25.6,29.2,26.9,79.0,0.0,2.0,5,110,4,SE
23-07-2020,25.8,28.6,26.7,79.0,0.0,10.6,8,110,5,SE
24-07-2020,,28.7,26.4,71.0,,9.5,7,110,4,SE
25-07-2020,24.8,28.7,26.1,69.0,0.0,10.5,7,110,4,SE
26-07-2020,24.8,28.9,26.0,71.0,0.0,10.5,5,130,4,SE
27-07-2020,,28.9,26.6,76.0,0.0,10.7,7,130,4,SE
28-07-2020,25.8,28.9,26.6,81.0,0.0,10.0,6,130,4,SE
29-07-2020,24.0,28.6,26.7,64.0,,9.5,7,120,4,SE
30-07-2020,24.2,28.6,27.3,80.0,0.0,10.2,6,130,4,SE
31-07-2020,25.0,29.8,26.3,75.0,8888.0,9.1,7,120,4,SE
