Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2020,25.4,31.2,29.0,77.0,15.6,9.2,5,110,4,SE
02-06-2020,24.9,31.3,27.7,77.0,0.0,8.5,8,110,4,SE
03-06-2020,25.5,32.0,28.7,80.0,1.8,10.6,5,120,4,SE
04-06-2020,24.8,30.3,27.2,88.0,3.5,10.2,8,80,6,SE
05-06-2020,,29.7,27.5,80.0,1.9,5.0,8,130,5,SE
06-06-2020,25.1,30.1,28.2,86.0,9.5,3.9,5,110,3,SE
07-06-2020,24.8,30.3,27.1,83.0,,9.3,5,130,3,SE
08-06-2020,26.4,30.0,27.4,72.0,0.0,8.0,4,120,2,SE
09-06-2020,22.6,30.2,26.0,76.0,0.0,10.5,4,110,2,E 
10-06-2020,22.8,29.9,25.8,82.0,0.0,10.6,4,120,2,E 
11-06-2020,22.8,31.2,26.3,77.0,,10.6,4,90,2,E 
12-06-2020,22.6,30.3,,,0.0,11.0,4,110,3,SE
13-06-2020,,30.2,27.1,84.0,2.5,10.7,6,100,4,E 
14-06-2020,25.2,30.5,28.4,86.0,1.7,7.0,7,100,4,SE
15-06-2020,26.8,30.6,28.6,83.0,7.6,7.5,6,120,4,E 
16-06-2020,25.4,30.4,27.3,80.0,8888.0,8.8,6,110,4,E 
17-06-2020,26.4,30.4,28.1,85.0,0.0,9.1,7,110,5,SE
18-06-2020,26.6,30.2,28.4,80.0,3.7,7.8,7,110,6,SE
19-06-2020,27.2,30.2,28.3,74.0,0.0,9.6,7,130,5,SE
20-06-2020,26.0,30.0,27.9,84.0,0.1,8.8,6,120,4,SE
21-06-2020,27.0,30.0,28.0,79.0,8888.0,7.2,7,130,4,SE
22-06-2020,,29.8,27.5,80.0,0.0,7.5,5,120,4,SE
23-06-2020,26.2,29.8,27.6,80.0,,9.6,5,120,4,SE
24-06-2020,26.0,29.1,27.3,80.0,0.0,10.3,6,110,4,E 
25-06-2020,24.6,29.0,26.9,77.0,0.0,9.9,8,120,4,SE
26-06-2020,21.5,29.8,27.1,80.0,0.0,9.6,5,110,2,E 
27-06-2020,22.4,29.6,25.4,82.0,,10.7,5,100,3,E 
28-06-2020,23.7,29.7,26.8,85.0,0.3,10.3,5,120,4,E 
29-06-2020,25.8,29.2,26.9,84.0,8888.0,6.6,5,110,4,SE
30-06-2020,25.9,29.3,27.3,77.0,1.0,7.3,6,120,4,SE
