Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2020,26.6,31.1,27.4,88.0,1.5,7.7,6,240,3,N 
02-03-2020,25.1,32.8,28.5,80.0,15.5,5.9,4,260,2,NE
03-03-2020,26.2,32.2,28.6,80.0,0.0,9.6,6,230,4,W 
04-03-2020,24.5,30.0,26.7,88.0,44.6,7.4,5,270,3,NW
05-03-2020,24.0,31.5,,,40.7,0.5,7,260,4,W 
06-03-2020,24.6,30.7,28.3,81.0,1.2,8.1,8,270,3,W 
07-03-2020,25.2,31.5,26.7,85.0,21.1,1.2,5,260,2,NE
08-03-2020,24.7,30.5,26.8,89.0,57.8,7.9,5,40,2,E 
09-03-2020,25.6,31.2,27.0,86.0,1.9,2.8,10,260,6,W 
10-03-2020,25.6,31.6,28.0,84.0,4.3,3.9,6,260,3,W 
11-03-2020,25.0,32.3,28.7,83.0,3.0,8.8,5,250,2,E 
12-03-2020,25.1,32.4,27.8,88.0,32.3,9.0,4,360,2,N 
13-03-2020,25.8,32.4,28.7,80.0,0.2,4.1,6,320,3,N 
14-03-2020,23.6,31.5,27.3,84.0,31.9,6.0,5,270,2,W 
15-03-2020,25.9,32.1,28.7,80.0,0.0,4.9,15,40,2,S 
16-03-2020,24.0,32.0,28.4,83.0,0.7,7.5,4,130,2,NE
17-03-2020,25.6,31.6,28.3,81.0,0.0,10.0,5,110,3,E 
18-03-2020,25.3,31.8,27.9,82.0,0.0,11.3,4,100,2,E 
19-03-2020,25.2,32.1,28.2,78.0,0.0,8.4,5,110,2,E 
20-03-2020,25.3,32.6,28.5,74.0,0.0,7.8,4,110,2,E 
21-03-2020,25.8,31.8,28.5,79.0,0.0,11.1,4,260,2,NE
22-03-2020,25.5,31.8,28.2,76.0,8888.0,6.0,4,120,2,E 
23-03-2020,25.6,31.8,28.0,82.0,0.0,7.1,4,310,2,NE
24-03-2020,24.4,31.6,27.6,84.0,16.6,5.9,5,110,2,E 
25-03-2020,24.8,32.0,27.8,82.0,0.0,8.6,4,120,3,E 
26-03-2020,25.4,32.2,28.9,78.0,0.0,11.0,4,110,2,E 
27-03-2020,26.6,30.0,28.0,87.0,9.8,11.0,5,270,2,W 
28-03-2020,26.0,,28.3,85.0,0.5,3.6,4,110,2,E 
29-03-2020,26.2,31.6,28.2,84.0,0.0,10.0,4,110,2,E 
30-03-2020,25.8,31.9,28.4,80.0,0.0,10.3,6,130,2,E 
31-03-2020,,31.5,28.4,80.0,0.0,10.9,5,90,2,E 
