Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2020,25.0,30.6,27.5,77.0,0.0,7.4,5,130,3,SE
02-05-2020,24.5,31.2,28.0,74.0,0.0,9.8,8,110,4,SE
03-05-2020,25.4,31.5,27.8,76.0,1.0,10.6,7,110,4,E 
04-05-2020,26.7,31.4,28.5,75.0,0.0,9.1,7,120,5,SE
05-05-2020,26.8,31.2,28.9,77.0,,10.6,7,100,4,SE
06-05-2020,26.9,31.6,28.5,81.0,0.0,10.5,5,110,2,E 
07-05-2020,25.6,31.8,28.1,85.0,0.0,10.4,5,130,2,E 
08-05-2020,26.0,31.2,28.2,83.0,0.0,9.5,6,130,3,SE
09-05-2020,24.3,30.4,27.3,87.0,32.8,10.0,5,110,3,SE
10-05-2020,24.6,31.4,27.4,84.0,0.0,8.5,5,120,3,E 
11-05-2020,25.2,30.5,27.3,81.0,0.0,9.0,5,130,3,SE
12-05-2020,25.1,30.2,27.2,86.0,0.0,10.6,5,130,3,SE
13-05-2020,25.3,30.4,27.4,87.0,8888.0,10.8,12,120,6,SE
14-05-2020,25.8,30.2,27.4,84.0,1.5,10.3,7,130,4,SE
15-05-2020,26.2,30.2,28.0,88.0,0.0,7.1,6,140,4,SE
16-05-2020,26.8,30.3,28.4,88.0,0.1,8.3,6,120,5,SE
17-05-2020,27.6,30.7,28.7,84.0,,9.1,6,110,5,SE
18-05-2020,27.3,30.6,,,3.1,7.8,6,130,2,SE
19-05-2020,25.4,30.8,28.1,87.0,0.8,4.1,6,150,2,SE
20-05-2020,25.4,29.6,27.0,88.0,0.9,3.2,7,120,4,SE
21-05-2020,26.0,29.8,27.6,89.0,0.5,6.0,5,260,2,E 
22-05-2020,25.0,30.8,28.0,81.0,13.9,1.2,4,280,2,W 
23-05-2020,25.4,31.0,27.7,86.0,3.6,9.0,5,260,2,W 
24-05-2020,21.9,30.8,28.1,91.0,0.0,8.4,5,280,2,W 
25-05-2020,25.8,30.8,28.3,83.0,8888.0,9.1,4,260,2,W 
26-05-2020,25.0,32.1,27.8,82.0,0.0,8.0,5,260,2,SW
27-05-2020,25.0,29.5,26.8,89.0,9.1,8.8,3,240,1,E 
28-05-2020,25.8,30.5,26.6,92.0,8888.0,1.7,5,80,2,SE
29-05-2020,24.2,30.4,26.8,88.0,6.7,3.2,4,250,2,E 
30-05-2020,25.2,31.0,27.9,88.0,2.3,2.9,6,120,4,SE
31-05-2020,25.1,31.4,27.8,88.0,45.6,9.9,6,140,4,SE
