Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2020,24.5,30.7,27.6,79,8888.0,4.0,4,110,3,SE
02-11-2020,25.6,31.9,28.4,82,0.0,6.2,6,100,3,E 
03-11-2020,22.9,31.8,27.9,78,0.0,7.1,6,130,3,SE
04-11-2020,25.8,32.2,28.0,82,0.0,10.4,5,140,3,SE
05-11-2020,25.8,32.2,28.6,77,0.0,9.1,5,130,3,SE
06-11-2020,24.5,32.0,28.6,78,0.0,10.9,4,110,2,SE
07-11-2020,25.2,32.2,29.0,74,0.0,11.8,4,110,2,SE
08-11-2020,24.9,32.6,28.4,74,0.0,10.8,4,260,2,S 
09-11-2020,25.3,32.4,28.9,73,0.0,,4,140,2,S 
10-11-2020,25.5,32.7,28.9,71,,10.0,5,130,3,SE
11-11-2020,,31.3,27.8,82,26.0,,5,130,3,SE
12-11-2020,25.8,33.4,29.8,76,8888.0,3.8,5,230,3,SE
13-11-2020,27.2,32.2,29.5,80,8888.0,11.7,6,130,3,SE
14-11-2020,26.8,32.6,29.3,75,8888.0,8.7,6,120,3,SE
15-11-2020,26.4,32.4,28.8,80,4.1,9.8,5,150,3,SE
16-11-2020,,32.2,28.9,75,,6.7,5,130,2,SE
17-11-2020,,32.4,29.5,72,,11.9,8,40,2,SE
18-11-2020,24.1,32.6,28.6,83,2.5,11.0,5,130,3,SE
19-11-2020,,32.4,29.2,76,15.2,,5,120,2,E 
20-11-2020,26.6,32.4,28.9,82,0.0,11.7,5,110,2,E 
21-11-2020,24.5,31.6,28.3,84,8.1,8.1,5,130,3,SE
22-11-2020,,31.7,28.5,79,0.1,11.4,5,120,2,SE
23-11-2020,,31.7,28.1,80,0.0,4.0,4,90,2,E 
24-11-2020,26.2,31.6,27.8,82,0.0,4.6,5,270,3,W 
25-11-2020,25.2,30.6,26.8,85,4.1,4.5,6,260,3,W 
26-11-2020,,31.8,28.2,80,0.3,5.2,6,250,3,W 
27-11-2020,24.6,31.2,27.7,82,18.9,5.1,7,270,3,W 
28-11-2020,26.0,30.8,28.0,85,0.0,5.7,3,240,2,W 
29-11-2020,25.9,31.0,28.4,82,2.1,4.9,6,290,3,W 
30-11-2020,24.8,29.4,26.3,88,3.6,9.4,6,270,3,W 
