Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2020,,30.6,28.4,81,3.2,9.4,6,140,4,SE
02-10-2020,25.8,31.0,28.3,76,0.0,,5,140,4,SE
03-10-2020,26.6,31.2,28.3,80,0.0,10.5,5,120,3,SE
04-10-2020,25.2,27.8,26.1,86,0.2,10.0,5,150,2,S 
05-10-2020,24.4,,27.2,81,7.5,2.0,5,140,3,SE
06-10-2020,,29.6,27.3,73,0.8,4.0,6,150,4,SE
07-10-2020,23.8,29.6,26.6,75,0.0,9.7,5,140,4,SE
08-10-2020,,29.4,26.4,82,0.6,7.8,5,130,3,SE
09-10-2020,24.9,30.4,27.0,83,0.0,2.9,5,160,4,SE
10-10-2020,20.5,29.7,26.8,88,13.7,5.1,5,130,3,SE
11-10-2020,24.6,30.4,27.6,82,17.8,2.7,6,130,4,SE
12-10-2020,25.3,30.3,28.4,82,8888.0,11.0,5,120,4,SE
13-10-2020,25.2,30.9,28.2,79,2.4,11.2,7,140,4,SE
14-10-2020,26.7,31.0,28.6,77,0.0,10.7,5,130,3,SE
15-10-2020,26.7,30.9,28.8,76,0.0,10.7,5,120,2,SE
16-10-2020,25.6,31.0,27.8,75,,11.0,6,190,2,S 
17-10-2020,24.2,30.2,27.4,77,0.0,10.9,6,310,2,S 
18-10-2020,25.1,30.5,27.4,76,8888.0,8.7,5,110,3,SE
19-10-2020,26.0,29.5,27.1,82,,5.8,6,140,4,E 
20-10-2020,25.3,30.4,27.6,82,0.0,5.6,5,110,3,SE
21-10-2020,25.0,31.5,27.5,80,0.0,10.4,6,130,3,SE
22-10-2020,25.4,31.0,27.9,80,0.0,8.4,5,130,3,SE
23-10-2020,24.7,,27.6,81,0.0,11.5,5,130,2,SE
24-10-2020,23.9,31.6,27.7,80,0.0,8.6,5,140,3,SE
25-10-2020,25.2,32.0,28.1,80,8888.0,11.0,5,130,2,SE
26-10-2020,25.8,31.8,28.1,83,0.0,8.7,5,140,2,SE
27-10-2020,,31.8,28.1,79,,10.7,5,230,2,SW
28-10-2020,24.1,,26.7,81,1.4,7.7,5,140,2,E 
29-10-2020,23.2,31.2,27.7,87,5.3,1.3,6,130,3,SE
30-10-2020,24.8,31.4,28.2,82,0.5,5.8,5,140,4,SE
31-10-2020,,29.4,25.9,84,7.1,10.5,5,120,3,E 
