Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2020,25.6,30.2,27.4,79,0.0,8.7,5,120,3,SE
02-09-2020,25.6,30.5,27.6,82,8888.0,9.5,6,130,4,SE
03-09-2020,25.6,30.6,27.7,82,0.0,7.3,7,130,4,SE
04-09-2020,25.3,30.2,27.3,80,0.0,9.5,5,120,4,SE
05-09-2020,25.6,30.6,27.3,77,0.0,10.4,5,140,2,SE
06-09-2020,25.3,30.6,27.5,79,8888.0,9.1,4,120,3,SE
07-09-2020,25.5,30.3,27.3,80,0.0,8.9,6,120,4,SE
08-09-2020,25.8,31.0,27.4,78,0.0,10.1,5,130,4,SE
09-09-2020,26.2,30.2,27.3,78,0.0,10.1,5,120,4,SE
10-09-2020,25.6,30.2,27.5,76,0.0,9.1,6,130,4,SE
11-09-2020,26.1,30.4,27.6,76,0.0,10.9,5,120,4,SE
12-09-2020,26.0,30.7,27.6,76,0.0,11.0,5,100,4,SE
13-09-2020,26.3,30.5,27.6,73,0.0,10.3,5,120,3,SE
14-09-2020,24.9,31.0,27.1,70,0.0,10.9,5,130,3,SE
15-09-2020,23.0,31.0,27.2,72,0.0,10.0,4,110,2,SE
16-09-2020,23.0,29.5,26.5,81,11.0,11.2,5,120,3,SE
17-09-2020,23.4,30.4,27.3,79,0.5,3.8,5,130,3,SE
18-09-2020,23.8,29.9,27.2,82,0.0,8.2,6,120,3,SE
19-09-2020,24.4,30.5,27.5,83,0.0,11.0,6,120,3,SE
20-09-2020,25.2,30.4,27.3,83,0.0,10.5,5,130,3,E 
21-09-2020,24.8,30.9,27.1,85,0.0,10.5,5,100,3,SE
22-09-2020,23.8,30.2,26.6,86,45.8,8.3,5,130,2,SE
23-09-2020,24.6,30.3,27.2,82,8888.0,6.5,4,120,2,SE
24-09-2020,25.0,30.6,27.5,83,0.0,10.8,5,270,2,W 
25-09-2020,25.4,31.2,28.0,81,0.8,8.9,4,150,2,S 
26-09-2020,25.5,30.7,27.6,79,0.0,9.8,5,140,2,SE
27-09-2020,25.0,30.5,28.0,75,8888.0,8.1,4,110,2,SE
28-09-2020,25.4,31.0,28.3,76,0.0,10.0,6,140,3,SE
29-09-2020,26.2,30.6,28.2,77,0.0,9.7,5,140,3,SE
30-09-2020,25.7,30.6,28.2,80,0.7,9.5,7,120,4,SE
